generation,"fit average","fit median","fit minimum","fit maximum","solution count","gate average","gate median","gate minimum","gate maximum",
0,6305.000000,7000.000000,1500,8500,0,3572.080078,4021.000000,0,4096,
1,6500.000000,7500.000000,1500,9500,0,3411.250000,3289.500000,0,4096,
2,6820.000000,7500.000000,1500,9500,0,3273.030029,3096.000000,0,4096,
3,7125.000000,8000.000000,2000,9500,0,3269.760010,3128.000000,0,4096,
4,7380.000000,8000.000000,1500,9500,0,3355.070068,3300.500000,0,4096,
5,7135.000000,8000.000000,1500,9500,0,3317.639893,3167.000000,0,4096,
6,7195.000000,8000.000000,1000,9500,0,3269.209961,3123.000000,0,4096,
7,6775.000000,7750.000000,1000,9500,0,3263.959961,3098.500000,0,4096,
8,7165.000000,8000.000000,1000,9500,0,3248.649902,3132.000000,0,4096,
9,7505.000000,8500.000000,1500,9500,0,3294.530029,3229.000000,0,4096,
10,7290.000000,8500.000000,1000,9500,0,3314.229980,3968.000000,0,4096,
11,7355.000000,8000.000000,1500,9500,0,3387.429932,3968.000000,0,4096,
12,7350.000000,8000.000000,500,9500,0,3418.409912,3968.000000,0,4096,
13,7175.000000,8500.000000,500,9500,0,3412.840088,3968.000000,0,4096,
14,7360.000000,8250.000000,1500,9500,0,3429.209961,3968.000000,0,4096,
15,7455.000000,8500.000000,500,9500,0,3335.750000,3968.000000,0,4096,
16,7615.000000,8500.000000,1500,9500,0,3389.110107,3968.000000,0,4096,
17,7320.000000,8500.000000,1500,9500,0,3342.389893,3968.000000,0,4064,
18,7005.000000,8000.000000,1500,9500,0,3415.879883,3968.000000,0,4096,
19,7225.000000,8250.000000,500,9500,0,3433.899902,3968.000000,0,4096,
20,6900.000000,8000.000000,500,9500,0,3298.729980,3169.500000,0,4096,
21,6835.000000,8000.000000,0,10000,1,3189.659912,3052.500000,0,4064,
22,7165.000000,8250.000000,2000,10000,1,3328.290039,3879.000000,0,4096,
23,7270.000000,8000.000000,500,10000,2,3270.120117,3273.000000,0,4096,
24,7290.000000,8000.000000,0,10000,2,3224.320068,3078.500000,0,4096,
25,6845.000000,8000.000000,1000,10000,2,3306.550049,3077.000000,0,4096,
26,7085.000000,8000.000000,1000,10000,2,3291.870117,3046.500000,0,4032,
27,7285.000000,8500.000000,0,10000,2,3276.000000,3098.500000,0,4096,
28,7120.000000,8500.000000,1500,10000,2,3401.060059,3968.000000,0,4096,
29,7385.000000,8500.000000,1500,10000,2,3466.510010,3968.000000,0,4096,
30,7705.000000,8500.000000,1500,10000,2,3370.629883,3968.000000,0,4032,
31,7155.000000,8500.000000,1000,10000,2,3364.520020,3968.000000,0,4096,
32,7485.000000,8500.000000,1000,10000,2,3406.209961,3968.000000,0,4096,
33,7985.000000,8500.000000,1000,10000,2,3477.649902,3968.000000,0,4096,
34,7635.000000,8500.000000,1500,10000,2,3421.399902,3968.000000,0,4096,
35,7540.000000,8500.000000,1500,10000,2,3394.070068,3944.000000,0,3968,
36,7540.000000,8500.000000,1500,10000,2,3459.270020,3968.000000,0,4096,
37,7745.000000,8500.000000,1000,10000,1,3412.340088,3968.000000,0,4096,
38,7450.000000,8500.000000,1500,10000,1,3400.860107,3968.000000,0,4096,
39,7500.000000,8500.000000,1500,10000,1,3450.320068,3968.000000,0,4096,
40,7440.000000,8250.000000,1000,10000,1,3269.919922,3968.000000,0,4096,
41,6940.000000,8000.000000,500,10000,1,3155.199951,3071.000000,0,4096,
42,7340.000000,8500.000000,1500,10000,1,3201.449951,3717.000000,0,4096,
43,7500.000000,8500.000000,500,10000,1,3347.040039,3968.000000,0,4096,
44,7725.000000,8500.000000,0,10000,1,3410.820068,3968.000000,0,4096,
45,8215.000000,9000.000000,1500,10000,1,3468.550049,3968.000000,0,4054,
46,7940.000000,9000.000000,1000,10000,1,3389.159912,3968.000000,0,4032,
47,7860.000000,9000.000000,500,10000,1,3377.909912,3968.000000,0,4096,
48,7935.000000,9000.000000,1500,10000,1,3360.659912,3968.000000,0,4032,
49,7835.000000,9000.000000,1000,10000,1,3411.729980,3968.000000,0,4032,
50,7645.000000,9000.000000,500,10000,1,3385.229980,3968.000000,0,4064,
51,7465.000000,8500.000000,1000,10000,1,3370.260010,3968.000000,0,4064,
52,7405.000000,8500.000000,1000,10000,1,3286.219971,3904.000000,0,3968,
53,7420.000000,8500.000000,1000,10000,1,3344.600098,3968.000000,0,4096,
54,7170.000000,8500.000000,500,10000,1,3231.909912,3920.000000,0,4096,
55,7315.000000,8500.000000,1000,10000,1,3429.459961,3968.000000,0,4096,
56,7900.000000,9000.000000,500,10000,1,3554.959961,3968.000000,0,4096,
57,7605.000000,9000.000000,1000,10000,1,3446.179932,3968.000000,0,4096,
58,7770.000000,9000.000000,1000,10000,1,3416.120117,3968.000000,0,4096,
59,7670.000000,8500.000000,1000,10000,2,3293.719971,3968.000000,0,3968,
60,7345.000000,8250.000000,500,10000,2,3214.000000,3936.000000,0,4096,
61,7725.000000,8500.000000,1000,10000,2,3344.320068,3968.000000,0,4096,
62,7550.000000,8500.000000,1000,10000,2,3341.590088,3968.000000,0,4096,
63,7175.000000,8500.000000,1500,10000,3,3229.300049,3904.000000,0,4096,
64,7065.000000,8000.000000,1500,10000,5,3126.270020,2943.000000,0,4096,
65,7460.000000,8000.000000,1500,10000,6,2953.909912,2928.000000,0,4096,
66,7420.000000,8000.000000,500,10000,7,2835.729980,2930.000000,0,4064,
67,7350.000000,8000.000000,1500,10000,8,2684.959961,2752.500000,0,4064,
68,7520.000000,8500.000000,0,10000,10,2707.870117,2790.500000,0,3968,
69,7260.000000,8250.000000,1000,10000,11,2643.330078,2690.500000,0,4032,
70,7260.000000,8500.000000,1000,10000,11,2727.520020,3014.500000,0,4096,
71,7340.000000,8500.000000,1000,10000,8,2732.989990,2997.500000,0,4096,
72,7820.000000,8500.000000,1000,10000,12,2895.020020,3920.000000,0,4032,
73,7380.000000,8000.000000,500,10000,15,2448.449951,2674.000000,0,4096,
74,7485.000000,8500.000000,1000,10000,29,1898.469971,2029.000000,0,4096,
75,7735.000000,8750.000000,1500,10000,33,1660.410034,1386.000000,0,3968,
76,7705.000000,8500.000000,0,10000,35,1602.540039,1387.500000,0,4000,
77,7600.000000,8500.000000,500,10000,38,1373.459961,336.000000,0,4000,
78,7850.000000,9500.000000,1000,10000,46,1335.900024,464.500000,0,4000,
79,7255.000000,8000.000000,1000,10000,41,1116.209961,272.000000,0,4000,
80,7565.000000,8000.000000,1000,10000,40,1266.750000,744.000000,0,4000,
81,7950.000000,8500.000000,1500,10000,45,1167.599976,351.500000,0,4000,
82,8150.000000,10000.000000,1500,10000,55,1087.400024,415.500000,0,4096,
83,8420.000000,10000.000000,1000,10000,56,1205.709961,511.000000,0,4064,
84,8480.000000,10000.000000,500,10000,59,1147.069946,448.000000,0,4096,
85,7985.000000,10000.000000,1000,10000,57,1042.359985,456.000000,0,4096,
86,7870.000000,10000.000000,1500,10000,51,1244.579956,576.000000,0,4096,
87,7730.000000,8500.000000,1000,10000,48,1109.089966,550.500000,0,4096,
88,7895.000000,9250.000000,1000,10000,50,1217.329956,596.500000,0,3904,
89,7580.000000,8500.000000,1000,10000,49,1328.250000,704.000000,0,4096,
90,7745.000000,9250.000000,0,10000,50,1200.369995,616.500000,0,4096,
91,7630.000000,8500.000000,1000,10000,46,1252.290039,704.000000,0,4096,
92,8230.000000,10000.000000,0,10000,54,1124.380005,546.500000,0,3904,
93,7825.000000,10000.000000,0,10000,53,1126.930054,516.000000,0,4096,
94,7990.000000,10000.000000,0,10000,54,1057.709961,520.000000,0,4032,
95,8010.000000,10000.000000,1000,10000,56,1074.910034,546.500000,0,3904,
96,7655.000000,9000.000000,0,10000,49,1298.709961,576.000000,0,4096,
97,7495.000000,8000.000000,1500,10000,45,1396.579956,988.000000,0,4096,
98,7650.000000,10000.000000,500,10000,51,1128.069946,566.500000,0,4096,
99,7865.000000,9750.000000,1000,10000,50,1410.829956,1149.000000,0,4096,
100,8035.000000,10000.000000,0,10000,56,1295.239990,661.500000,0,4096,
101,8125.000000,10000.000000,1500,10000,56,1183.520020,627.000000,0,4064,
102,7500.000000,8500.000000,0,10000,47,1355.930054,1149.000000,0,4096,
103,7725.000000,10000.000000,500,10000,54,1052.640015,592.000000,0,3904,
104,7885.000000,9500.000000,0,10000,50,1250.060059,736.500000,0,4096,
105,7760.000000,10000.000000,0,10000,56,1189.869995,693.500000,0,4096,
106,7930.000000,10000.000000,0,10000,58,1205.219971,619.000000,0,4096,
107,7400.000000,9000.000000,0,10000,48,1351.859985,1112.500000,0,4096,
108,8290.000000,10000.000000,0,10000,55,1267.979980,933.500000,0,4096,
109,8255.000000,10000.000000,0,10000,61,1134.420044,654.000000,0,4069,
110,8105.000000,10000.000000,1000,10000,53,1350.859985,755.500000,0,4096,
111,7970.000000,10000.000000,1000,10000,55,1459.150024,1220.000000,0,4096,
112,7795.000000,10000.000000,0,10000,53,1555.459961,1234.500000,0,4064,
113,7625.000000,10000.000000,0,10000,54,1494.989990,1178.000000,0,4096,
114,8055.000000,10000.000000,500,10000,52,1495.310059,1112.000000,0,4096,
115,8265.000000,10000.000000,500,10000,54,1283.130005,640.000000,0,4096,
116,7935.000000,10000.000000,1500,10000,55,1240.790039,652.000000,0,4096,
117,7610.000000,9500.000000,0,10000,50,1247.170044,652.000000,0,4096,
118,8295.000000,10000.000000,500,10000,57,1263.469971,664.000000,0,4096,
119,8000.000000,10000.000000,500,10000,56,1202.630005,624.000000,0,4096,
120,8145.000000,10000.000000,500,10000,57,1248.660034,678.000000,0,4096,
121,8625.000000,10000.000000,2000,10000,63,1196.810059,678.000000,0,4096,
122,8270.000000,10000.000000,500,10000,61,1114.800049,668.000000,0,3904,
123,8515.000000,10000.000000,1500,10000,64,1141.199951,652.000000,0,3904,
124,7990.000000,10000.000000,0,10000,56,1305.780029,1220.000000,0,4096,
125,7485.000000,8250.000000,1000,10000,47,1561.229980,1280.000000,0,4096,
126,7235.000000,8000.000000,1000,10000,43,1633.099976,1327.000000,0,4096,
127,7305.000000,8500.000000,500,10000,43,1627.449951,1380.500000,0,3904,
128,7980.000000,8750.000000,2000,10000,49,1394.170044,1280.000000,0,4096,
129,8020.000000,10000.000000,500,10000,54,1435.109985,1281.000000,0,4096,
130,7725.000000,10000.000000,1000,10000,54,1428.979980,1284.000000,0,4096,
131,7805.000000,10000.000000,500,10000,52,1464.430054,1344.000000,0,4096,
132,8255.000000,10000.000000,500,10000,63,1263.969971,1280.000000,0,4096,
133,8225.000000,10000.000000,1000,10000,64,1243.219971,1280.000000,0,4096,
134,7780.000000,10000.000000,0,10000,59,1118.479980,1112.000000,0,4032,
135,7740.000000,10000.000000,500,10000,55,1225.199951,1280.000000,0,4096,
136,7950.000000,10000.000000,500,10000,61,1176.199951,1280.000000,0,4096,
137,7670.000000,10000.000000,0,10000,57,1242.479980,1280.000000,0,4096,
138,7690.000000,10000.000000,1000,10000,51,1457.239990,1313.500000,0,4096,
139,7515.000000,8500.000000,1500,10000,49,1352.930054,1282.500000,0,4096,
140,8265.000000,10000.000000,1500,10000,58,1296.810059,1280.000000,0,4096,
141,8215.000000,10000.000000,1000,10000,56,1331.859985,1282.500000,0,4096,
142,8290.000000,10000.000000,1000,10000,61,1353.449951,1344.000000,0,4096,
143,7590.000000,10000.000000,0,10000,60,1398.209961,1408.000000,0,4096,
144,7900.000000,10000.000000,0,10000,57,1345.849976,1408.000000,0,4096,
145,7670.000000,10000.000000,0,10000,56,1348.949951,1408.000000,0,4096,
146,7840.000000,9500.000000,1000,10000,50,1337.650024,1397.000000,0,4096,
147,8085.000000,10000.000000,0,10000,57,1100.560059,1280.000000,0,3980,
148,7750.000000,10000.000000,0,10000,57,1269.619995,1280.000000,0,3980,
149,8415.000000,10000.000000,1000,10000,61,1143.349976,1280.000000,0,3904,
150,8365.000000,10000.000000,2000,10000,60,1214.670044,1280.000000,0,3904,
151,8050.000000,10000.000000,0,10000,59,1405.280029,1400.000000,0,4058,
152,7650.000000,10000.000000,0,10000,53,1374.859985,1344.000000,0,4096,
153,7845.000000,10000.000000,1000,10000,54,1474.469971,1408.000000,0,4096,
154,7455.000000,8000.000000,500,10000,47,1413.150024,1408.000000,0,4074,
155,7595.000000,8000.000000,500,10000,48,1587.979980,1408.000000,0,4096,
156,7700.000000,9000.000000,1000,10000,47,1585.130005,1408.000000,0,4064,
157,7675.000000,8500.000000,500,10000,47,1531.959961,1408.000000,0,4064,
158,7780.000000,9000.000000,500,10000,48,1484.699951,1408.000000,0,3968,
159,7570.000000,10000.000000,0,10000,52,1596.170044,1448.000000,0,4096,
160,7565.000000,10000.000000,0,10000,53,1299.030029,1408.000000,0,3904,
161,7685.000000,10000.000000,500,10000,51,1431.880005,1408.000000,0,3904,
162,7890.000000,10000.000000,1000,10000,52,1338.400024,1408.000000,0,4096,
163,7800.000000,10000.000000,0,10000,52,1476.689941,1467.500000,0,4096,
164,7715.000000,10000.000000,0,10000,52,1269.939941,1408.000000,0,4096,
165,7290.000000,8500.000000,1000,10000,46,1465.430054,1472.000000,0,4096,
166,7450.000000,10000.000000,500,10000,51,1423.119995,1472.000000,0,4096,
167,7720.000000,9500.000000,500,10000,50,1321.939941,1376.000000,0,4096,
168,8030.000000,10000.000000,0,10000,59,1366.640015,1408.000000,0,4096,
169,7060.000000,8000.000000,500,10000,45,1397.359985,1410.500000,0,4096,
170,7495.000000,8250.000000,0,10000,46,1314.540039,1288.000000,0,4096,
171,7420.000000,8750.000000,500,10000,49,1336.930054,1322.500000,0,3904,
172,7865.000000,10000.000000,500,10000,53,1411.920044,1412.000000,0,4096,
173,7665.000000,10000.000000,0,10000,54,1399.010010,1376.000000,0,4096,
174,6915.000000,8500.000000,500,10000,48,1449.260010,1354.500000,0,4096,
175,6905.000000,7750.000000,500,10000,37,1570.459961,1536.000000,0,4096,
176,7720.000000,8500.000000,0,10000,44,1596.229980,1472.000000,0,4096,
177,7295.000000,8500.000000,0,10000,46,1270.270020,688.000000,0,4096,
178,7590.000000,9500.000000,0,10000,50,1115.359985,470.500000,0,4096,
179,8050.000000,10000.000000,500,10000,55,1188.380005,672.000000,0,4096,
180,8340.000000,10000.000000,1500,10000,55,1201.640015,672.000000,0,4096,
181,7705.000000,10000.000000,0,10000,51,1275.939941,1026.500000,0,4096,
182,7885.000000,10000.000000,0,10000,55,1170.449951,928.000000,0,4096,
183,8005.000000,10000.000000,0,10000,58,1145.290039,470.500000,0,4096,
184,7690.000000,9500.000000,1000,10000,50,1094.900024,505.500000,0,3992,
185,7455.000000,9500.000000,0,10000,50,1065.859985,896.000000,0,3992,
186,7680.000000,9500.000000,0,10000,50,1212.869995,1056.000000,0,4032,
187,7875.000000,10000.000000,0,10000,51,1248.069946,1080.000000,0,4032,
188,7890.000000,10000.000000,1500,10000,55,1097.189941,480.000000,0,4032,
189,7170.000000,8000.000000,1000,10000,45,1260.290039,1249.000000,0,4096,
190,7495.000000,8500.000000,0,10000,47,1383.069946,1296.000000,0,4096,
191,7805.000000,9500.000000,1500,10000,50,1321.969971,1280.000000,0,4096,
192,7865.000000,10000.000000,0,10000,51,1227.729980,1280.000000,0,4096,
193,8155.000000,10000.000000,0,10000,62,1258.300049,1280.000000,0,4096,
194,7860.000000,10000.000000,0,10000,56,1314.510010,1280.000000,0,4096,
195,7790.000000,10000.000000,0,10000,55,1237.640015,1296.000000,0,4096,
196,7745.000000,10000.000000,0,10000,52,1204.300049,1281.500000,0,4096,
197,8180.000000,10000.000000,500,10000,59,1346.780029,1472.000000,0,4032,
198,8640.000000,10000.000000,1000,10000,59,1246.670044,1472.000000,0,4032,
199,7890.000000,8500.000000,1000,10000,48,1233.939941,1360.000000,0,4096,
